Iteration,Interval,Density
171000,6;6.5,41.6911
171000,6.5;7,35.4249
171000,7;7.5,29.4893
171000,7.5;8,23.7315
171000,8;8.5,18.5142
171000,8.5;9,13.5748
171000,9;9.5,9.33544
171000,9.5;10,5.95722
171000,10;10.5,3.61374
171000,10.5;11,2.05444
171000,11;11.5,1.09512
171000,11.5;12,0.525586
171000,12;12.5,0.227995
171000,12.5;13,0.0871233
171000,13;13.5,0.0362574
171000,13.5;14,0.00841719
171000,14;14.5,0.00313477
171000,14.5;15,0
171000,15;15.5,0
171000,15.5;16,0
172000,0;0.5,0
172000,0.5;1,28.6479
172000,1;1.5,180.834
172000,1.5;2,110.72
172000,2;2.5,116.126
172000,2.5;3,99.6065
172000,3;3.5,91.177
172000,3.5;4,80.813
172000,4;4.5,72.293
172000,4.5;5,62.9972
172000,5;5.5,55.7667
172000,5.5;6,48.6557
172000,6;6.5,41.9762
172000,6.5;7,35.2957
172000,7;7.5,29.453
172000,7.5;8,23.7342
172000,8;8.5,18.6825
172000,8.5;9,14.0174
172000,9;9.5,9.30196
172000,9.5;10,5.97563
172000,10;10.5,3.63797
172000,10.5;11,2.13568
172000,11;11.5,1.15296
172000,11.5;12,0.565927
172000,12;12.5,0.251325
172000,12.5;13,0.0939757
172000,13;13.5,0.0335381
172000,13.5;14,0.0117841
172000,14;14.5,0.00235108
172000,14.5;15,0.000731467
172000,15;15.5,0
172000,15.5;16,0
173000,0;0.5,0
173000,0.5;1,19.6443
173000,1;1.5,181.638
173000,1.5;2,106.591
173000,2;2.5,118.098
173000,2.5;3,97.9275
173000,3;3.5,92.2447
173000,3.5;4,80.3271
173000,4;4.5,73.1731
173000,4.5;5,63.8006
173000,5;5.5,56.4014
173000,5.5;6,49.0502
173000,6;6.5,41.5323
173000,6.5;7,35.4389
173000,7;7.5,29.114
173000,7.5;8,23.6918
173000,8;8.5,18.4137
173000,8.5;9,13.8906
173000,9;9.5,9.31312
173000,9.5;10,6.02083
173000,10;10.5,3.64554
173000,10.5;11,2.21142
173000,11;11.5,1.15296
173000,11.5;12,0.539417
173000,12;12.5,0.251325
173000,12.5;13,0.0881022
173000,13;13.5,0.0344445
173000,13.5;14,0.00757547
173000,14;14.5,0.00313477
173000,14.5;15,0
173000,15;15.5,0
173000,15.5;16,0
174000,0;0.5,0
174000,0.5;1,18.0072
174000,1;1.5,188.573
174000,1.5;2,107.313
174000,2;2.5,117.754
174000,2.5;3,98.2423
174000,3;3.5,91.7033
174000,3.5;4,80.9826
174000,4;4.5,72.5218
174000,4.5;5,64.4348
174000,5;5.5,55.784
174000,5.5;6,48.8866
174000,6;6.5,41.5364
174000,6.5;7,35.17
174000,7;7.5,29.2199
174000,7.5;8,23.3766
174000,8;8.5,18.5469
174000,8.5;9,13.6475
174000,9;9.5,9.38937
174000,9.5;10,6.02083
174000,10;10.5,3.77883
174000,10.5;11,2.2004
174000,11;11.5,1.1869
174000,11.5;12,0.597047
174000,12;12.5,0.279957
174000,12.5;13,0.0920178
174000,13;13.5,0.0426025
174000,13.5;14,0.0092589
174000,14;14.5,0.00391846
174000,14.5;15,0.000731467
174000,15;15.5,0
174000,15.5;16,0
175000,0;0.5,0
175000,0.5;1,17.7344
175000,1;1.5,187.468
175000,1.5;2,110.669
175000,2;2.5,118.693
175000,2.5;3,101.453
175000,3;3.5,91.6131
175000,3.5;4,83.0845
175000,4;4.5,72.7771
175000,4.5;5,65.1044
175000,5;5.5,56.2803
175000,5.5;6,49.5024
175000,6;6.5,41.8988
175000,6.5;7,35.8474
175000,7;7.5,28.9627
175000,7.5;8,24.0865
175000,8;8.5,17.9391
175000,8.5;9,13.5561
175000,9;9.5,8.92074
175000,9.5;10,5.71284
175000,10;10.5,3.53195
175000,10.5;11,2.009
175000,11;11.5,1.11147
175000,11.5;12,0.532502
175000,12;12.5,0.231177
175000,12.5;13,0.0920178
175000,13;13.5,0.0317252
175000,13.5;14,0.00757547
175000,14;14.5,0.00313477
175000,14.5;15,0
175000,15;15.5,0
175000,15.5;16,0
176000,0;0.5,0
176000,0.5;1,15.2789
176000,1;1.5,189.78
176000,1.5;2,108.243
176000,2;2.5,120.509
176000,2.5;3,99.5226
176000,3;3.5,92.6357
176000,3.5;4,82.3613
176000,4;4.5,72.8475
176000,4.5;5,64.759
176000,5;5.5,56.3899
176000,5.5;6,49.5265
176000,6;6.5,41.7685
176000,6.5;7,35.9242
176000,7;7.5,29.2048
176000,7.5;8,23.6256
176000,8;8.5,18.257
176000,8.5;9,13.4729
176000,9;9.5,8.96909
176000,9.5;10,5.77979
176000,10;10.5,3.55013
176000,10.5;11,2.0448
176000,11;11.5,1.06997
176000,11.5;12,0.541722
176000,12;12.5,0.235419
176000,12.5;13,0.0920178
176000,13;13.5,0.0371639
176000,13.5;14,0.00841719
176000,14;14.5,0.00156739
176000,14.5;15,0
176000,15;15.5,0
176000,15.5;16,0
177000,0;0.5,0
177000,0.5;1,15.2789
177000,1;1.5,191.287
177000,1.5;2,109.12
177000,2;2.5,121.354
177000,2.5;3,100.488
177000,3;3.5,93.5681
177000,3.5;4,83.0845
177000,4;4.5,73.8508
177000,4.5;5,64.5617
177000,5;5.5,57.365
177000,5.5;6,48.9684
177000,6;6.5,42.5789
177000,6.5;7,35.0024
177000,7;7.5,29.2381
177000,7.5;8,23.1938
177000,8;8.5,18.4604
177000,8.5;9,13.0801
177000,9;9.5,9.12344
177000,9.5;10,5.57893
177000,10;10.5,3.58042
177000,10.5;11,1.96907
177000,11;11.5,1.11901
177000,11.5;12,0.527891
177000,12;12.5,0.235419
177000,12.5;13,0.09006
177000,13;13.5,0.0308188
177000,13.5;14,0.0101006
177000,14;14.5,0.00156739
177000,14.5;15,0.000731467
177000,15;15.5,0
177000,15.5;16,0
178000,0;0.5,0
178000,0.5;1,13.9147
178000,1;1.5,193.197
178000,1.5;2,110.462
178000,2;2.5,119.726
178000,2.5;3,101.537
178000,3;3.5,92.8011
178000,3.5;4,82.8359
178000,4;4.5,74.0709
178000,4.5;5,64.4771
178000,5;5.5,56.7419
178000,5.5;6,49.3581
178000,6;6.5,42.2857
178000,6.5;7,35.5751
178000,7;7.5,29.7072
178000,7.5;8,23.2097
178000,8;8.5,18.229
178000,8.5;9,13.0718
178000,9;9.5,8.91516
178000,9.5;10,5.7279
178000,10;10.5,3.45471
178000,10.5;11,2.00762
178000,11;11.5,1.11398
178000,11.5;12,0.510602
178000,12;12.5,0.23966
178000,12.5;13,0.0812498
178000,13;13.5,0.0308188
178000,13.5;14,0.0109423
178000,14;14.5,0.00235108
178000,14.5;15,0
178000,15;15.5,0
178000,15.5;16,0
179000,0;0.5,0
179000,0.5;1,9.82213
179000,1;1.5,190.785
179000,1.5;2,103.081
179000,2;2.5,119.476
179000,2.5;3,96.3325
179000,3;3.5,93.147
179000,3.5;4,79.7847
179000,4;4.5,72.7859
179000,4.5;5,63.1945
179000,5;5.5,56.2456
179000,5.5;6,48.9492
179000,6;6.5,41.5893
179000,6.5;7,35.4424
179000,7;7.5,29.0777
179000,7.5;8,23.8693
179000,8;8.5,18.4534
179000,8.5;9,13.9197
179000,9;9.5,9.34474
179000,9.5;10,5.94383
179000,10;10.5,3.71673
179000,10.5;11,2.17148
179000,11;11.5,1.21582
179000,11.5;12,0.556706
179000,12;12.5,0.283138
179000,12.5;13,0.0949546
179000,13;13.5,0.0453218
179000,13.5;14,0.0126258
179000,14;14.5,0.00313477
179000,14.5;15,0.000731467
179000,15;15.5,0
179000,15.5;16,0
180000,0;0.5,0
180000,0.5;1,10.095
180000,1;1.5,192.594
180000,1.5;2,106.281
180000,2;2.5,121.104
180000,2.5;3,97.9065
180000,3;3.5,93.7185
180000,3.5;4,82.4517
180000,4;4.5,73.7804
180000,4.5;5,65.3722
180000,5;5.5,56.3149
180000,5.5;6,49.1127
180000,6;6.5,42.0047
180000,6.5;7,34.4124
180000,7;7.5,29.5408
180000,7.5;8,23.2229
180000,8;8.5,18.4628
180000,8.5;9,13.4792
180000,9;9.5,9.12716
180000,9.5;10,5.85679
180000,10;10.5,3.64706
180000,10.5;11,2.03654
180000,11;11.5,1.14667
180000,11.5;12,0.526739
180000,12;12.5,0.232237
180000,12.5;13,0.0998491
180000,13;13.5,0.0317252
180000,13.5;14,0.0092589
180000,14;14.5,0.00235108
180000,14.5;15,0
180000,15;15.5,0
180000,15.5;16,0
181000,0;0.5,0
181000,0.5;1,8.18511
181000,1;1.5,192.896
181000,1.5;2,102.565
181000,2;2.5,118.975
181000,2.5;3,96.1646
181000,3;3.5,93.6583
181000,3.5;4,80.9826
181000,4;4.5,73.8068
181000,4.5;5,63.8992
181000,5;5.5,56.0783
181000,5.5;6,49.2667
181000,6;6.5,41.8907
181000,6.5;7,35.0304
181000,7;7.5,29.1715
181000,7.5;8,23.3527
181000,8;8.5,18.6872
181000,8.5;9,13.6059
181000,9;9.5,9.33358
181000,9.5;10,5.96726
181000,10;10.5,3.70764
181000,10.5;11,2.11227
181000,11;11.5,1.13661
181000,11.5;12,0.572843
181000,12;12.5,0.26299
181000,12.5;13,0.0890811
