Iteration,Interval,Density
172000,13.5;14,0.0109423
172000,14;14.5,0.000783693
172000,14.5;15,0
172000,15;15.5,0
172000,15.5;16,0
173000,0;0.5,0
173000,0.5;1,47.4736
173000,1;1.5,171.586
173000,1.5;2,113.095
173000,2;2.5,118.317
173000,2.5;3,99.5435
173000,3;3.5,92.7861
173000,3.5;4,82.5986
173000,4;4.5,73.9564
173000,4.5;5,64.8436
173000,5;5.5,57.1862
173000,5.5;6,48.4777
173000,6;6.5,42.4934
173000,6.5;7,35.0199
173000,7;7.5,29.456
173000,7.5;8,23.4931
173000,8;8.5,18.4581
173000,8.5;9,13.5124
173000,9;9.5,9.1253
173000,9.5;10,5.76305
173000,10;10.5,3.5062
173000,10.5;11,2.00212
173000,11;11.5,1.03225
173000,11.5;12,0.524433
173000,12;12.5,0.19194
173000,12.5;13,0.078313
173000,13;13.5,0.0217544
173000,13.5;14,0.00505031
173000,14;14.5,0.000783693
173000,14.5;15,0
173000,15;15.5,0
173000,15.5;16,0
174000,0;0.5,0
174000,0.5;1,41.7441
174000,1;1.5,174.702
174000,1.5;2,112.372
174000,2;2.5,115.531
174000,2.5;3,98.4312
174000,3;3.5,90.2446
174000,3.5;4,82.2257
174000,4;4.5,72.4162
174000,4.5;5,64.759
174000,5;5.5,55.8129
174000,5.5;6,48.7808
174000,6;6.5,41.7359
174000,6.5;7,35.2748
174000,7;7.5,29.3864
174000,7.5;8,23.7872
174000,8;8.5,18.7035
174000,8.5;9,13.5457
174000,9;9.5,9.54
174000,9.5;10,5.87855
174000,10;10.5,3.6925
174000,10.5;11,2.09162
174000,11;11.5,1.14416
174000,11.5;12,0.546333
174000,12;12.5,0.21421
174000,12.5;13,0.0841865
174000,13;13.5,0.0181287
174000,13.5;14,0.00757547
174000,14;14.5,0.000783693
174000,14.5;15,0
174000,15;15.5,0
174000,15.5;16,0
175000,0;0.5,0
175000,0.5;1,42.2897
175000,1;1.5,176.813
175000,1.5;2,114.437
175000,2;2.5,118.411
175000,2.5;3,102.461
175000,3;3.5,92.3951
175000,3.5;4,84.2372
175000,4;4.5,73.2523
175000,4.5;5,65.3299
175000,5;5.5,57.0246
175000,5.5;6,49.4783
175000,6;6.5,42.1065
175000,6.5;7,35.1037
175000,7;7.5,29.7345
175000,7.5;8,23.3289
175000,8;8.5,18.3178
175000,8.5;9,13.1238
175000,9;9.5,9.02488
175000,9.5;10,5.53876
175000,10;10.5,3.45471
175000,10.5;11,1.9732
175000,11;11.5,1.02345
175000,11.5;12,0.527891
175000,12;12.5,0.221633
175000,12.5;13,0.0802709
175000,13;13.5,0.0326317
175000,13.5;14,0.00757547
175000,14;14.5,0.00156739
175000,14.5;15,0
175000,15;15.5,0
175000,15.5;16,0
176000,0;0.5,0
176000,0.5;1,45.5638
176000,1;1.5,171.284
176000,1.5;2,114.54
176000,2;2.5,117.409
176000,2.5;3,102.125
176000,3;3.5,93.2071
176000,3.5;4,84.3502
176000,4;4.5,73.754
176000,4.5;5,65.2876
176000,5;5.5,57.2554
176000,5.5;6,49.1945
176000,6;6.5,42.1106
176000,6.5;7,35.2294
176000,7;7.5,29.0383
176000,7.5;8,23.4613
176000,8;8.5,17.9204
176000,8.5;9,13.1134
176000,9;9.5,9.14389
176000,9.5;10,5.69275
176000,10;10.5,3.54407
176000,10.5;11,2.01451
176000,11;11.5,1.12152
176000,11.5;12,0.508297
176000,12;12.5,0.231177
176000,12.5;13,0.0773341
176000,13;13.5,0.0317252
176000,13.5;14,0.00589203
176000,14;14.5,0.00313477
176000,14.5;15,0
176000,15;15.5,0
176000,15.5;16,0
177000,0;0.5,0
177000,0.5;1,45.8366
177000,1;1.5,171.385
177000,1.5;2,114.127
177000,2;2.5,115.593
177000,2.5;3,101.39
177000,3;3.5,91.4176
177000,3.5;4,81.8075
177000,4;4.5,72.3282
177000,4.5;5,65.8091
177000,5;5.5,55.6571
177000,5.5;6,49.2089
177000,6;6.5,42.0291
177000,6.5;7,35.6693
177000,7;7.5,29.2532
177000,7.5;8,23.7792
177000,8;8.5,18.5025
177000,8.5;9,13.4043
177000,9;9.5,9.27965
177000,9.5;10,5.72288
177000,10;10.5,3.54104
177000,10.5;11,2.04893
177000,11;11.5,1.11021
177000,11.5;12,0.496771
177000,12;12.5,0.236479
177000,12.5;13,0.0949546
177000,13;13.5,0.0299124
177000,13.5;14,0.00841719
177000,14;14.5,0.00313477
177000,14.5;15,0
177000,15;15.5,0
177000,15.5;16,0
178000,0;0.5,0
178000,0.5;1,41.7441
178000,1;1.5,174.4
178000,1.5;2,111.443
178000,2;2.5,116.595
178000,2.5;3,99.7324
178000,3;3.5,90.5454
178000,3.5;4,81.8753
178000,4;4.5,71.9058
178000,4.5;5,63.8711
178000,5;5.5,55.9514
178000,5.5;6,48.8722
178000,6;6.5,41.5242
178000,6.5;7,35.5017
178000,7;7.5,29.3471
178000,7.5;8,23.7739
178000,8;8.5,18.5492
178000,8.5;9,13.5436
178000,9;9.5,9.39681
178000,9.5;10,6.0543
178000,10;10.5,3.61525
178000,10.5;11,2.15634
178000,11;11.5,1.16176
178000,11.5;12,0.585521
178000,12;12.5,0.26299
178000,12.5;13,0.0851654
178000,13;13.5,0.0407896
178000,13.5;14,0.0109423
178000,14;14.5,0.00156739
178000,14.5;15,0
178000,15;15.5,0
178000,15.5;16,0
179000,0;0.5,0
179000,0.5;1,42.0169
179000,1;1.5,172.49
179000,1.5;2,113.353
179000,2;2.5,114.185
179000,2.5;3,101.013
179000,3;3.5,91.2371
179000,3.5;4,80.5983
179000,4;4.5,73.0411
179000,4.5;5,64.6745
179000,5;5.5,55.8648
179000,5.5;6,48.8433
179000,6;6.5,41.8377
179000,6.5;7,35.5192
179000,7;7.5,29.1322
179000,7.5;8,23.8428
179000,8;8.5,18.4066
179000,8.5;9,13.6953
179000,9;9.5,9.22944
179000,9.5;10,5.89529
179000,10;10.5,3.61071
179000,10.5;11,2.17148
179000,11;11.5,1.1605
179000,11.5;12,0.54518
179000,12;12.5,0.254507
179000,12.5;13,0.101807
179000,13;13.5,0.0371639
179000,13.5;14,0.0109423
179000,14;14.5,0.00156739
179000,14.5;15,0.000731467
179000,15;15.5,0
179000,15.5;16,0
180000,0;0.5,0
180000,0.5;1,48.2922
180000,1;1.5,171.887
180000,1.5;2,117.327
180000,2;2.5,119.069
180000,2.5;3,103.867
180000,3;3.5,95.2975
180000,3.5;4,84.4632
180000,4;4.5,75.3734
180000,4.5;5,65.795
180000,5;5.5,57.9362
180000,5.5;6,49.4687
180000,6;6.5,42.363
180000,6.5;7,35.3481
180000,7;7.5,28.9294
180000,7.5;8,23.1196
180000,8;8.5,17.9835
180000,8.5;9,12.864
180000,9;9.5,8.904
180000,9.5;10,5.49524
180000,10;10.5,3.27448
180000,10.5;11,1.89884
180000,11;11.5,1.01591
180000,11.5;12,0.502534
180000,12;12.5,0.198303
180000,12.5;13,0.0822287
180000,13;13.5,0.0308188
180000,13.5;14,0.00841719
180000,14;14.5,0.00156739
180000,14.5;15,0
180000,15;15.5,0
180000,15.5;16,0
181000,0;0.5,0
181000,0.5;1,40.6527
181000,1;1.5,172.691
181000,1.5;2,114.85
181000,2;2.5,116.971
181000,2.5;3,99.7744
181000,3;3.5,92.9515
181000,3.5;4,82.5534
181000,4;4.5,74.3525
181000,4.5;5,64.3221
181000,5;5.5,57.3592
181000,5.5;6,49.4062
181000,6;6.5,41.4305
181000,6.5;7,35.6938
181000,7;7.5,29.1988
181000,7.5;8,23.5991
181000,8;8.5,18.3272
181000,8.5;9,13.4542
181000,9;9.5,9.09368
181000,9.5;10,5.75971
181000,10;10.5,3.53195
181000,10.5;11,1.93464
181000,11;11.5,1.09512
181000,11.5;12,0.488703
181000,12;12.5,0.219512
181000,12.5;13,0.0822287
181000,13;13.5,0.0262866
181000,13.5;14,0.00841719
181000,14;14.5,0.00156739
